stateabbr,age_adjusted_cancer_rate,population
AK,6.678740875912409,2859894.0
AL,7.823183391003461,13702874.0
AR,7.865459965928449,8247472.0
AZ,8.427112676056337,26758164.0
CA,7.2979773462783175,155006484.0
CO,8.20685393258427,19486291.0
CT,8.597652582159624,8983608.0
DC,5.75,2758180.0
DE,8.519620253164556,1708556.0
FL,8.693565400843882,66705440.0
GA,7.139752252252252,21227855.0
HI,6.703086419753087,5641132.0
IA,8.609573894282631,10809699.0
ID,8.130580357142858,5023812.0
IL,8.151363314447593,48376985.0
IN,8.257488986784141,18855308.0
KS,8.372575516693164,9865016.0
LA,7.169865145228216,12166322.0
MA,8.912753036437246,20144812.0
MD,7.810356454720616,21599882.0
ME,8.899354838709678,2638460.0
MI,8.759724091520862,23022816.0
MN,8.339139344262295,19556159.0
MO,8.255705394190871,17599097.0
MS,6.951255980861244,6421051.0
MT,8.663157894736843,3052930.0
NC,7.971559633027523,25837859.0
ND,8.455381944444445,2469048.0
NE,8.632469512195122,6213161.0
NH,8.9785,2653420.0
NJ,7.788741007194245,24472052.0
NM,7.0103594080338265,7365867.0
NV,8.732083333333332,11884936.0
NY,8.422340838509317,66348994.0
OH,8.479820717131474,33534890.0
OK,7.948046357615894,11840292.0
OR,8.986557177615571,13754185.0
RI,8.497222222222222,2722108.0
SC,7.69774678111588,10145062.0
SD,8.537635869565218,2759032.0
TN,8.359095427435388,18186976.0
TX,6.744736095346198,88578396.0
UT,8.316381987577639,12251864.0
VA,7.7856446776611685,24201481.0
VT,8.952542372881355,1106004.0
WA,8.202160000000001,25187709.0
WI,8.24130025125628,16867036.0
WV,8.5661866359447,3164385.0
WY,8.601436781609197,1801688.0
